COUNTRY,2000,2010,2020
UNITED STATES,"282,200,000","309,300,000","329,500,000"
CHINA,"1,263,000,000","1,338,000,000","1,411,000,000"
RUSSIA,"146,600,000","142,800,000","144,100,000"
INDIA,"1,060,000,000","1,241,000,000","1,396,000,000"
